id_student,code_presentation,y
575680,2014B,1.0
271526,2014J,0.0
595553,2013J,1.0
631416,2014J,1.0
669530,2014J,1.0
396739,2013B,1.0
2047575,2014J,1.0
550812,2014B,0.0
2056416,2013J,1.0
2175266,2013J,0.0
418623,2014B,1.0
567896,2014B,0.0
577273,2014B,0.0
675710,2014J,1.0
599655,2013J,0.0
623654,2014B,1.0
598860,2013J,1.0
150282,2014J,1.0
619483,2014B,1.0
296424,2014J,1.0
2211630,2013J,0.0
362037,2013B,1.0
291937,2014J,0.0
689333,2014J,1.0
628718,2014B,1.0
255622,2013J,0.0
690600,2014J,0.0
524101,2013B,0.0
380921,2014B,1.0
628004,2014B,1.0
570141,2013J,1.0
620257,2014B,1.0
606143,2013J,0.0
495625,2013J,1.0
255140,2014B,0.0
80886,2013B,0.0
416696,2013B,0.0
470619,2014B,1.0
436044,2013J,0.0
500459,2013B,1.0
561955,2013J,1.0
586506,2014B,0.0
471580,2014B,0.0
550960,2013B,0.0
199361,2014J,0.0
587677,2013J,0.0
684995,2014J,0.0
631247,2014B,1.0
377705,2013J,0.0
494975,2013J,0.0
2139037,2014B,1.0
654801,2014J,1.0
280541,2013J,0.0
655546,2014J,1.0
111926,2013J,0.0
2204389,2014J,1.0
2639540,2013J,1.0
342007,2013J,0.0
677281,2014J,0.0
2464386,2014J,1.0
373237,2013J,0.0
556498,2013B,1.0
591733,2014J,0.0
582514,2013J,1.0
581123,2014B,0.0
554558,2013B,1.0
1935735,2013J,0.0
2449399,2014J,1.0
551245,2013J,1.0
681268,2014J,0.0
574551,2014B,0.0
650758,2014J,0.0
626890,2014B,1.0
578857,2014J,1.0
627217,2014B,1.0
605993,2013J,0.0
629976,2014B,0.0
556389,2013B,1.0
266450,2013B,1.0
381365,2013J,0.0
634461,2014B,0.0
680775,2014J,1.0
590590,2013J,0.0
564609,2013J,1.0
547128,2013B,0.0
627847,2014B,0.0
411304,2014J,1.0
618621,2014B,1.0
633237,2014J,0.0
596731,2014B,1.0
498635,2013J,1.0
1348205,2014J,1.0
559609,2013B,1.0
198691,2013J,0.0
562448,2013J,0.0
128723,2013J,0.0
632276,2014J,0.0
375882,2013J,0.0
510401,2014J,0.0
553170,2013J,0.0
1772429,2013B,1.0
561467,2014J,0.0
634701,2014B,0.0
476037,2013B,0.0
630090,2014B,0.0
689051,2014J,0.0
386880,2013B,1.0
540509,2014J,0.0
591448,2014B,1.0
137873,2013J,1.0
325887,2013J,1.0
433864,2013J,1.0
78645,2013B,0.0
270468,2013B,0.0
648049,2014J,1.0
554888,2013B,0.0
591849,2013J,0.0
571630,2013J,0.0
690319,2014J,1.0
486777,2013J,0.0
634431,2014B,1.0
582034,2014J,0.0
297014,2014B,1.0
264164,2013J,1.0
413747,2013J,0.0
336695,2014J,1.0
2595641,2013J,1.0
371402,2014J,1.0
128971,2014B,1.0
543653,2014J,0.0
2414945,2014J,0.0
608698,2013J,1.0
2548055,2013J,1.0
628506,2014B,1.0
2472178,2014B,0.0
277596,2013J,1.0
185021,2014B,1.0
390233,2013B,1.0
598649,2013J,0.0
603389,2013J,1.0
592190,2014B,1.0
684444,2014J,1.0
1631797,2014J,1.0
643230,2014J,0.0
587529,2013J,1.0
2095576,2014B,1.0
2444703,2013B,0.0
537658,2014B,0.0
617472,2013J,1.0
634789,2014B,0.0
645818,2014J,1.0
465564,2014J,1.0
595892,2014J,1.0
647195,2014J,1.0
311877,2013J,0.0
355935,2014J,1.0
606079,2013J,0.0
618667,2014B,0.0
648363,2014J,1.0
588382,2013J,1.0
655408,2014J,0.0
439855,2014J,0.0
1561750,2014J,0.0
652553,2014J,1.0
2574909,2013J,1.0
2418732,2013J,1.0
609097,2013J,1.0
675823,2014J,0.0
346333,2013J,1.0
600365,2013J,1.0
146485,2013J,0.0
628915,2014B,1.0
493725,2013J,0.0
470588,2014J,0.0
653177,2014J,0.0
2540424,2013J,0.0
410816,2014B,0.0
685085,2014J,1.0
569108,2014J,1.0
582677,2013J,1.0
305792,2014B,1.0
680231,2014J,0.0
591223,2013J,1.0
650544,2014J,0.0
2623263,2014B,1.0
646659,2014J,0.0
564702,2013J,1.0
1626710,2013J,1.0
600142,2013J,1.0
348986,2013B,1.0
591869,2014J,0.0
513638,2014B,1.0
546400,2014B,0.0
561591,2013J,1.0
2289847,2013J,1.0
2046628,2014J,0.0
313561,2014J,1.0
563967,2014B,0.0
410886,2013B,1.0
540602,2013J,1.0
681861,2014J,0.0
484423,2013J,1.0
622368,2014B,1.0
574988,2013J,1.0
654524,2014J,1.0
606529,2014B,0.0
583238,2014B,0.0
686182,2014J,1.0
579482,2013J,0.0
583288,2014J,0.0
631453,2014B,0.0
656987,2014J,1.0
600664,2014J,1.0
682660,2014J,1.0
1766102,2014J,0.0
572431,2013J,1.0
492537,2014J,0.0
425287,2014B,0.0
633574,2014J,1.0
598757,2014J,0.0
649555,2014J,0.0
683772,2014J,0.0
555765,2013B,0.0
656175,2014J,0.0
495522,2014J,0.0
652414,2014J,1.0
689896,2014J,0.0
286160,2013J,1.0
566963,2013J,1.0
2340786,2013J,1.0
39882,2014B,1.0
540547,2013B,0.0
477779,2014B,0.0
595182,2013J,1.0
2298106,2014J,1.0
503477,2013J,1.0
610380,2013J,0.0
582536,2013J,1.0
549783,2014J,1.0
2615169,2013J,0.0
689786,2014J,0.0
574830,2013J,1.0
693788,2014J,1.0
516726,2014B,1.0
293853,2013J,1.0
650592,2014J,1.0
2281870,2013J,0.0
690046,2014J,0.0
2411981,2014B,0.0
540758,2013B,0.0
689274,2014J,1.0
2551220,2013J,1.0
546439,2013B,0.0
678244,2014J,1.0
614571,2014B,1.0
508028,2013J,1.0
682390,2014J,1.0
678995,2014J,1.0
383372,2014B,1.0
38234,2013J,0.0
651628,2014J,1.0
496674,2013B,0.0
419375,2013J,1.0
124193,2014B,1.0
535789,2013B,0.0
181861,2014J,1.0
1905259,2013B,1.0
2642994,2013B,0.0
526352,2014J,1.0
560240,2013B,1.0
631853,2014B,1.0
533614,2013B,1.0
557229,2014J,1.0
990155,2013J,1.0
625357,2014J,1.0
605292,2013J,0.0
572514,2013J,0.0
680602,2014J,1.0
501444,2014J,1.0
696073,2014J,1.0
560459,2014J,0.0
675989,2014J,1.0
687503,2014J,1.0
587714,2013J,1.0
628575,2014B,1.0
583708,2013J,1.0
633077,2014B,1.0
539426,2013J,0.0
557766,2013J,0.0
628741,2014J,1.0
548573,2014B,0.0
2067799,2014J,0.0
37652,2014J,1.0
576947,2013J,0.0
631775,2014J,0.0
631117,2014J,1.0
582749,2014J,0.0
651493,2014J,1.0
509929,2013J,1.0
546302,2014B,0.0
543573,2013B,1.0
644226,2014J,1.0
2563095,2013J,0.0
643672,2014J,1.0
143350,2013B,1.0
612183,2014J,1.0
264151,2014J,0.0
522189,2014J,1.0
593904,2013J,0.0
543825,2013J,1.0
520962,2014B,1.0
505815,2014B,1.0
482187,2013B,1.0
2608235,2013B,1.0
602827,2014J,0.0
605679,2013J,1.0
624677,2014B,0.0
579020,2013J,1.0
578710,2014J,1.0
603585,2013J,0.0
556369,2013B,0.0
560784,2014J,0.0
1747824,2014J,1.0
335136,2013J,0.0
607411,2014B,0.0
406908,2014B,0.0
603108,2014J,1.0
437482,2014J,1.0
612860,2014J,1.0
425772,2014J,1.0
586642,2013J,1.0
550813,2013B,1.0
596369,2013J,0.0
590762,2014B,0.0
599263,2014B,0.0
605571,2013J,1.0
524128,2014B,1.0
491926,2013J,1.0
690766,2014J,1.0
205788,2013J,1.0
231572,2013J,1.0
517195,2013B,0.0
267761,2013B,1.0
2532840,2013B,0.0
677601,2014J,0.0
478326,2014J,0.0
627401,2014J,1.0
502477,2013J,1.0
142324,2014J,1.0
543386,2013B,0.0
609460,2013J,0.0
612862,2014B,1.0
566712,2014J,0.0
479347,2013B,0.0
578472,2013J,0.0
2544643,2014J,1.0
644172,2014J,1.0
573166,2013J,1.0
677892,2014J,1.0
178118,2013J,0.0
531047,2014B,0.0
604379,2014J,0.0
565582,2013J,1.0
110116,2013B,1.0
32885,2013J,1.0
617010,2014J,1.0
627327,2014B,1.0
582742,2014B,0.0
305783,2013J,1.0
683742,2014J,1.0
445818,2014B,0.0
2134304,2014B,0.0
633162,2014B,0.0
576949,2013J,1.0
390849,2014J,1.0
610746,2013J,1.0
166123,2014J,1.0
601310,2013J,0.0
1935774,2014J,0.0
528734,2013B,1.0
329659,2014J,0.0
634918,2014B,0.0
577551,2014J,0.0
2585937,2013J,1.0
435271,2014B,0.0
575282,2013J,0.0
465619,2013J,0.0
556692,2013B,0.0
574623,2013J,0.0
442393,2014B,0.0
618145,2014B,1.0
559656,2013B,0.0
612283,2014J,0.0
562064,2013J,0.0
646313,2014J,1.0
675442,2014J,0.0
567719,2014J,0.0
267853,2013B,0.0
298497,2013B,1.0
547689,2013B,1.0
576475,2014B,1.0
140060,2013J,1.0
482083,2013J,1.0
593871,2013J,1.0
284636,2013J,0.0
634596,2014B,1.0
613932,2014B,0.0
593858,2013J,1.0
596319,2013J,1.0
485920,2014J,0.0
644761,2014J,1.0
594996,2013J,0.0
548854,2014B,1.0
2330254,2014J,1.0
315730,2013J,1.0
603861,2014J,0.0
696789,2014J,1.0
629198,2014B,1.0
687404,2014J,0.0
556659,2013B,1.0
676724,2014J,1.0
2443165,2014J,0.0
439182,2013J,1.0
